,URL,Image,Name,Number of Courses,University,Category,Sub_Category,Course_Language
20,https://www.coursera.org/learn/trading-basics,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/7e/f611506eaa11e6bd6e19752ddfce74/Building-blcok.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/7e/f611506eaa11e6bd6e19752ddfce74/Building-blcok.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Trading Basics,,Indian School of Business,business,finance,en
21,https://www.coursera.org/learn/understanding-financial-markets,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e5/c953a0bfc411e585cc3dd6134eda4e/geneva_thumb.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e5/c953a0bfc411e585cc3dd6134eda4e/geneva_thumb.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Understanding Financial Markets,,University of Geneva,business,finance,en
22,https://www.coursera.org/learn/finance-for-non-finance,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/1c/8671a0649011e6b07af9b2acb13442/Finance4NonFinanceSquare.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/1c/8671a0649011e6b07af9b2acb13442/Finance4NonFinanceSquare.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Finance for Non-Finance Professionals,,Rice University,business,finance,en
23,https://www.coursera.org/learn/private-equity,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/39/e5acd0346611e5b80461999c2a9a44/financial.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/39/e5acd0346611e5b80461999c2a9a44/financial.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Private Equity and Venture Capital,,Università Bocconi,business,finance,en
24,https://www.coursera.org/learn/uva-darden-financial-accounting,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/d9/b7a0d0ff9c11e6b4394f01375dc7b5/FAFLogo.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/d9/b7a0d0ff9c11e6b4394f01375dc7b5/FAFLogo.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Financial Accounting Fundamentals,,University of Virginia,business,finance,en
25,https://www.coursera.org/learn/duke-behavioral-finance,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/c6/326590235611e6b8c873bbaf299b3b/piggy-bank-1019758_1920.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/c6/326590235611e6b8c873bbaf299b3b/piggy-bank-1019758_1920.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Behavioral Finance,,Duke University,business,finance,en
26,https://www.coursera.org/learn/financial-planning,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/b8/a58f70388211e5ab838b50e6ce3ed2/Logo_Financial-Planning-for-Young-Adults.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/b8/a58f70388211e5ab838b50e6ce3ed2/Logo_Financial-Planning-for-Young-Adults.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Financial Planning for Young Adults,,University of Illinois at Urbana-Champaign,business,finance,en
27,https://www.coursera.org/learn/global-financial-markets-instruments,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/04/3c9f305b4d11e6a0bdc3a6b52c21d6/Stocks3Thumb.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/04/3c9f305b4d11e6a0bdc3a6b52c21d6/Stocks3Thumb.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Global Financial Markets and Instruments,,Rice University,business,finance,en
28,https://www.coursera.org/learn/corporate-finance-essentials,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/2b/511ee0b17711e68df35fe3090fe0e4/COURSERA-1200x1200-finance.jpg?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/2b/511ee0b17711e68df35fe3090fe0e4/COURSERA-1200x1200-finance.jpg?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Corporate Finance Essentials,,IESE Business School,business,finance,en
29,https://www.coursera.org/learn/financial-accounting-basics,"https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e0/a02230486011e6a71b9d1c80ed860e/iMBA_FM_Thumbnail_FinancialAccountingFoundations.png?auto=format%2Ccompress&dpr=2&w=100&h=100&fit=fill&bg=FFF 2x, https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/e0/a02230486011e6a71b9d1c80ed860e/iMBA_FM_Thumbnail_FinancialAccountingFoundations.png?auto=format%2Ccompress&dpr=3&w=100&h=100&fit=fill&bg=FFF 3x",Financial Accounting: Foundations,,University of Illinois at Urbana-Champaign,business,finance,en
